outcome,label,scale,unit,beta1,se1,ci1_low,ci1_high,p1,beta2,se2,ci2_low,ci2_high,p2,ar1_alpha,n_obs,n_subjects
meanhr,Mean HR,raw,bpm,1.467805795753766,0.2176456677890647,1.0412281254960298,1.8943834660115022,1.540679042523601e-11,-0.0740967611191319,0.08663467084396077,-0.2438975957857773,0.09570407354751352,0.39239705233150246,0.9707757466600007,923,22
sdnn,SDNN,raw,ms,-0.6861126856983971,0.1072889657214354,-0.8963951944509629,-0.4758301769458313,1.6054980502134213e-10,-0.060653594652199126,0.060434189879453246,-0.1791024302507825,0.05779524094638427,0.3155567601233883,0.9874350706357176,923,22
rmssd,RMSSD,log,ms,-0.009263436066481752,0.0052143755586550435,-0.01948342436331156,0.0009565522303480577,0.07564745057726814,0.003879942825617038,0.0022595762624897727,-0.0005487452691845403,0.008308630920418615,0.08595892748911921,0.9978613083517842,923,22
lfpowfft,LF power,log,ms$^2$,-0.13186619891755866,0.02015481127859406,-0.1713689031388047,-0.09236349469631262,6.043168803990876e-11,-0.0002572629218157649,0.009343431391536514,-0.01857005194124829,0.018055526097616764,0.9780337467620392,0.9695511472505796,923,22
hfpowfft,HF power,log,ms$^2$,-0.06263431333023889,0.015884458653488264,-0.09376728020499149,-0.03150134645548629,8.042866628076066e-05,0.015483973600340577,0.007128585908835562,0.001512201958323146,0.029455745242358007,0.029848415627562144,0.9812272747210534,923,22
lfhffft,LF/HF,log,ratio,-0.041089502060788125,0.011058682632564862,-0.06276412173707385,-0.019414882384502404,0.0002027321568290974,-0.013903010907881057,0.0059840712982580715,-0.025631575133386722,-0.0021744466823753923,0.020161085679453575,0.9876418292091182,923,22
sampen,Sample Entropy,log,unitless,0.02888883992305239,0.00990467107608601,0.00947604133520823,0.048301638510896555,0.0035376892021060286,0.01051711490853724,0.004814099857041191,0.0010816525707570811,0.019952577246317396,0.028914646050671563,0.9942916526551654,923,22
