subject_id_new,timestamp,meanrr,sdnn,rmssd,pnn50,vlfpowfft,lfpowfft,hfpowfft,totpowfft,lfhffft,dfa1,dfa2,meanhr,hr_median,vo2_mlkgmin_median,vo2_l_median,vco2_l_median,rq_median,ve_stpd_median,ve_btps_median,rr_median,peto2_median,petco2_median,feo2_median,feco2_median,speed_median,grade_median,parasympathetic_index,sympathetic_index,autonomic_balance,ve_vo2,ve_vco2,sampen,window_end,n_epochs,vo2_mean,vo2_median,vo2_start,vo2_mid,vo2_end,vo2_change,vo2_pct_change,vo2_slope,vo2_sd,vo2_cv,hr_mean,hr_median_window,hr_start,hr_mid,hr_end,hr_change,hr_pct_change,hr_slope,hr_sd,hr_cv,resp_rate_mean,resp_rate_median,resp_rate_start,resp_rate_mid,resp_rate_end,resp_rate_change,resp_rate_pct_change,resp_rate_slope,resp_rate_sd,resp_rate_cv,ve_mean,ve_median,ve_start,ve_mid,ve_end,ve_change,ve_pct_change,ve_slope,ve_sd,ve_cv,vo2_current_start
1,0.0,457.20831902472526,47.633384927709855,6.97837692629551,0.0,15000.59664763276,1309.5883529685798,1446.720518360049,17756.90551896139,0.9052117090680948,,,131.23120797098898,#NULL!,8.9,0.713,0.895,1.25,23.1,28.0,24.0,118.6,36.6,17.68,3.96,0.5,2.0,0.0814736845231954,0.0737509332113165,0.9052117090680948,32.398316970546986,25.81005586592179,0.1868676649218485,300.0,31,23.82903225806451,24.7,8.9,26.2,34.8,25.9,291.0112359550562,0.06872983870967747,6.520503229474808,0.2736369298953825,129.63333333333333,128.5,93.5,127.0,153.0,59.5,63.63636363636363,0.16745272525027818,15.095062753769191,0.1164442999776487,29.274193548387096,30.5,24.0,31.0,37.0,13.0,54.166666666666664,0.0452016129032259,5.03792071804334,0.1720942614428028,42.08387096774193,42.1,23.1,42.1,61.3,38.199999999999996,165.36796536796533,0.10492540322580664,9.93501708685642,0.23607659795534955,8.9
1,10.0,453.3009303435114,47.21310966373163,6.828413956583095,0.0,16146.271631222697,1153.6671322407872,1217.7785839017583,18517.717347365244,0.9473537697997954,,,132.36240206816254,93.5,12.85,1.0285,1.166,1.145,28.25,34.15,26.5,114.25,39.05,17.185,4.285,3.0,2.0,0.0657628886464792,0.0623007204721663,0.9473537697997954,27.467185221195916,24.228130360205835,0.203671099175225,310.0,31,24.635483870967736,25.8,12.85,24.7,33.9,21.049999999999997,163.8132295719844,0.06518951612903222,6.14788843897354,0.24955419877986093,130.4516129032258,130.0,93.5,130.0,155.0,61.5,65.77540106951872,0.16709677419354813,15.524901952835688,0.11900889231896794,29.532258064516128,31.0,26.5,31.0,32.0,5.5,20.754716981132077,0.04344758064516131,4.963089568455937,0.16805655556759588,43.093548387096774,42.7,28.25,42.7,54.4,26.15,92.56637168141593,0.10012701612903224,9.523363743407437,0.22099279590211135,12.85
1,20.0,448.6076630741717,45.87812124363114,6.648838087417208,0.0,17751.2420206443,912.9031443387277,893.1653986533041,19557.310563636333,1.0220986456877792,,,133.74715801517584,106,13.5,1.08,1.305,1.2,30.9,37.3,27.0,116.2,38.2,17.34,4.3,3.1,2.0,0.0456691320489638,0.0466783580169823,1.0220986456877792,28.611111111111107,23.67816091954023,0.186791330359903,320.0,31,25.583870967741934,25.9,13.5,25.8,42.25,28.75,212.96296296296296,0.0682399193548387,6.525301871647704,0.25505529948440153,132.40322580645162,131.0,106.0,131.0,154.0,48.0,45.283018867924525,0.15750000000000014,14.49334292864527,0.10946366933560807,29.725806451612904,31.0,27.0,30.0,32.5,5.5,20.37037037037037,0.04328629032258065,4.957887167059202,0.16678730567426509,44.08870967741935,45.1,30.9,45.1,59.1,28.200000000000003,91.26213592233012,0.1002318548387097,9.532415832982908,0.21620990731477605,13.5
1,30.0,443.6258433283358,43.94104922203564,6.339558180813596,0.0,19194.686282317976,709.8868615539926,604.1251379442533,20508.698281816225,1.1750659208945196,,,135.2491089108911,113,11.1,0.887,0.942,1.22,24.5,29.6,30.0,117.2,37.3,17.42,4.01,3.1,2.0,0.0294570201210621,0.0346139404753642,1.1750659208945196,27.62119503945885,26.00849256900213,0.1811355875813712,330.0,31,26.529032258064507,26.2,11.1,25.9,42.8,31.699999999999996,285.58558558558553,0.07085685483870964,6.831468536529418,0.2575091496016683,134.2741935483871,136.0,113.0,136.0,164.0,51.0,45.13274336283186,0.15957661290322558,14.71328125066908,0.10957638889387182,30.080645161290324,31.0,30.0,34.0,38.0,8.0,26.666666666666668,0.04653225806451611,5.146352712024229,0.1710851839922264,45.322580645161295,46.7,24.5,46.7,69.15,44.650000000000006,182.2448979591837,0.10688104838709675,10.219163686506489,0.22547620945316807,11.1
1,40.0,438.628423781622,41.129221519483096,5.925254920716815,0.0,19705.90413046508,584.2418935891544,429.725652370361,20719.871676424595,1.3595695075834635,,,136.79004083390623,111.5,18.55,1.483,1.4675,0.985,33.55,40.6,25.0,109.9,39.65,16.44,4.525,3.2,2.0,0.0207397834832785,0.0281971772177486,1.3595695075834635,22.62306136210384,22.862010221465074,0.1781276441462167,340.0,31,27.538709677419348,26.55,18.55,27.3,42.4,23.849999999999998,128.57142857142856,0.0705020161290323,6.787976007586495,0.24648852786128783,135.56451612903226,137.0,111.5,137.0,153.0,41.5,37.219730941704036,0.15717741935483917,14.538306833720283,0.10724271548966777,30.29032258064516,31.5,25.0,35.0,36.5,11.5,46.0,0.05036290322580651,5.273794006766519,0.17410821534585955,46.751612903225805,46.95,33.55,47.2,68.8,35.25,105.06706408345754,0.10764717741935496,10.307347572411373,0.22047041657679747,18.55
1,50.0,435.0386639030612,39.77350357409976,5.6740822682357495,0.0,19987.85432417661,524.3903187664272,341.73641120573484,20853.981054148768,1.5344876974515005,,,137.91877591222485,110,19.6,1.569,1.582,1.01,37.3,45.1,20.0,111.1,38.9,16.76,4.35,3.2,2.5,0.0163871066305466,0.0251458135213996,1.5344876974515005,23.77310388782664,23.577749683944372,0.1797384796971315,350.0,31,28.31129032258064,27.3,19.6,26.55,42.5,22.9,116.83673469387755,0.07375201612903227,7.087168095431575,0.25033009851122756,136.96774193548387,141.0,110.0,141.0,155.0,45.0,40.90909090909091,0.15340725806451608,14.234310359053207,0.10392454572083124,30.677419354838708,32.0,20.0,31.5,37.0,17.0,85.0,0.05100806451612906,5.312796481290517,0.17318264029443328,47.898387096774194,47.2,37.3,47.65,69.1,31.799999999999997,85.25469168900804,0.11264717741935487,10.757388808558265,0.2245877045259159,19.6
1,60.0,430.8359825937951,37.46651461599356,5.235871150627317,0.0,18709.91418277569,456.2425135075973,262.2286611754837,19428.38535745877,1.7398651675313224,,,139.26413397223084,111.5,17.7,1.4145,1.3545,0.96,31.1,37.5,19.5,108.35,39.85,16.37,4.415,3.3,2.5,0.0134971927080297,0.0234832954521586,1.7398651675313224,21.986567691763874,22.96050203026947,0.1889360540232134,360.0,31,29.037096774193543,27.35,17.7,27.65,42.1,24.400000000000002,137.85310734463278,0.07647177419354839,7.313799374492206,0.25187777660307553,138.41935483870967,142.0,111.5,142.0,155.0,43.5,39.01345291479821,0.14691532258064513,13.676072032442619,0.09880173223158267,30.887096774193548,32.0,19.5,29.5,26.5,7.0,35.8974358974359,0.04159274193548389,4.99618133748058,0.16175626262339216,48.73064516129032,47.65,31.1,48.05,63.1,32.0,102.89389067524115,0.11500403225806452,10.90708238882237,0.2238238864419247,17.7
1,70.0,426.8699569810984,35.29982551727132,5.003564109263994,0.0,16889.367447888726,399.6646694717352,213.6645196091226,17502.696636969584,1.8705242695552864,,,140.55802948591383,113.5,21.45,1.7145,1.595,0.93,37.35,45.1,26.5,108.85,39.05,16.39,4.39,3.3,2.5,0.012207520020533,0.0228344624694891,1.8705242695552864,21.784776902887145,23.41692789968652,0.1944577720056076,370.0,31,29.904838709677417,27.65,21.45,27.35,44.6,23.150000000000002,107.92540792540792,0.07857056451612904,7.516829504947655,0.2513583028459925,139.82258064516128,142.0,113.5,144.0,155.0,41.5,36.563876651982376,0.1395766129032259,13.03875530044744,0.09325214311082493,31.451612903225808,32.0,26.5,32.5,37.0,10.5,39.62264150943396,0.03794354838709681,4.64283469213525,0.14761833380122333,50.127419354838715,48.05,37.35,48.65,74.4,37.050000000000004,99.19678714859438,0.11915524193548388,11.338032153697553,0.2261842380801339,21.45
1,80.0,423.16742805437855,34.521275781901444,4.82535869970612,0.0,15348.228573837938,348.73294690330306,171.0529808974797,15868.01450163872,2.0387422953611987,,,141.78785043987313,121,20.95,1.6765,1.6195,0.935,36.65,44.3,22.0,109.15,39.1,16.29,4.46,3.4,2.5,0.0107797343441937,0.0219771003402655,2.0387422953611987,21.861019982105574,22.63044149428836,0.1906884506034161,380.0,31,30.630645161290325,27.9,20.95,27.9,43.95,23.000000000000004,109.78520286396184,0.08161088709677418,7.755714854429978,0.25320115895669454,141.32258064516128,142.0,121.0,142.0,160.0,39.0,32.231404958677686,0.13479838709677405,12.576133737558067,0.08898884863371379,31.387096774193548,32.0,22.0,32.0,24.5,2.5,11.363636363636363,0.030544354838709657,4.727066880246415,0.15060541961730614,50.99516129032258,48.65,36.65,49.5,64.25,27.6,75.30695770804911,0.11945362903225804,11.356894784217426,0.22270534099423742,20.95
1,90.0,419.58814775910366,33.22490372214132,4.40979918438877,0.0,13470.694575500202,311.4645850684414,148.02141540140158,13930.180575970044,2.1041859667658076,,,142.9973661564138,123,20.8,1.663,1.58,0.95,34.9,42.1,21.0,108.8,39.8,16.34,4.54,3.5,3.0,0.0106259509411344,0.022358976853877,2.1041859667658076,20.98616957306073,22.088607594936708,0.2041017479372911,390.0,31,31.4,28.0,20.8,28.0,44.8,23.999999999999996,115.38461538461536,0.08393548387096772,7.944054380478522,0.2529953624356217,142.58064516129033,144.0,123.0,142.0,160.0,37.0,30.08130081300813,0.13298387096774186,12.42517389160245,0.08714488476010768,31.741935483870968,32.5,21.0,32.5,33.0,12.0,57.142857142857146,0.025463709677419368,4.400513166555949,0.13863405301141707,52.0258064516129,48.7,34.9,48.7,68.6,33.699999999999996,96.56160458452722,0.12084677419354833,11.460932706137998,0.22029322537839655,20.8
