outcome,form,ri_aic,rs_aic,ri_converged,rs_converged,random_intercept_var,random_slope_var,slope_sd
meanhr,y ~ z,5287.82004195769,3499.543934106201,True,True,117.63867836265173,16.110899386749576,4.013838485383982
meanhr,y ~ z + I(z**2),4914.8834442886855,3134.429641301307,True,True,116.8520073048884,13.63902822696624,3.693105499030083
sdnn,y ~ z,5801.842860673494,5042.870069513054,True,True,88.6812165440256,26.97410602581143,5.19366017619669
sdnn,y ~ z + I(z**2),5800.27428449268,5039.242726348022,True,True,89.23654155782265,26.70009413002511,5.16721338150701
rmssd,y ~ z,470.03895790382467,-246.91796383729525,True,True,0.28013256790452484,0.06450804261846325,0.2539843353800845
rmssd,y ~ z + I(z**2),336.2826019592021,-688.9412438224927,True,True,0.2944967425770137,0.07638187120776803,0.27637270344187037
lfpowfft,y ~ z,1725.9845811906107,930.0887963890518,True,True,0.9942770522385326,0.3435677239415783,0.5861465038209972
lfpowfft,y ~ z + I(z**2),1605.6074444898522,900.213822975601,True,True,1.0345761307871322,0.3304332821789542,0.5748332646767705
hfpowfft,y ~ z,2271.6564657292056,1662.2701485635034,True,True,0.939648024182827,0.5789956343784832,0.760917626539485
hfpowfft,y ~ z + I(z**2),1858.41160047448,1121.5824898441715,True,True,1.1062204891433471,0.4863058097429908,0.6973563004253929
lfhffft,y ~ z,2007.7295200039716,1682.495326103961,True,True,0.69140960131468,0.276594242979902,0.5259222784593766
lfhffft,y ~ z + I(z**2),1854.9579221811045,1379.1732843119416,True,True,0.7336068533741694,0.25987611841197295,0.509780460994704
sampen,y ~ z,948.672328413938,322.4371384322385,True,True,0.2632290182654068,0.13878368994851753,0.3725368303248922
sampen,y ~ z + I(z**2),817.3262430875002,-215.3683824146865,True,True,0.2678284922604247,0.159469411116995,0.39933621312998274
