window_length_s,outcome,transform,n_obs,n_subjects,beta1,se1,ci1_low,ci1_high,p1,beta2,se2,ci2_low,ci2_high,p2,alpha
30,meanhr,raw,1517,22,13.708848641257388,0.9078973458354289,11.929402541760442,15.488294740754334,1.6302247877378728e-51,,,,,,0.9838612011837026
30,sdnn,raw,1517,22,-6.402674851128426,0.6121380151132763,-7.602443314318283,-5.202906387938569,1.3251379930546276e-25,,,,,,0.66648938131982
30,rmssd,log,1517,22,-0.159157005680322,0.046639768781935084,-0.2505692727401903,-0.0677447386204537,0.0006437603047747757,,,,,,0.9504927181788466
30,sampen_raw,log,1462,22,0.18792243956551816,0.024466323300546024,0.1399693270623348,0.2358755520687015,1.5802231023786884e-14,,,,,,0.556335535211122
30,sampen_detrended,log,1508,22,0.1103581418387951,0.02225398605887964,0.06674113065093454,0.15397515302665565,7.084672614030255e-07,,,,,,0.5638115860236355
60,meanhr,raw,731,22,19.262916314979293,0.9832128108305112,17.335854616613098,21.18997801334549,1.816255792497425e-85,,,,,,0.9897482134692306
60,sdnn,raw,731,22,-7.115655188332899,0.6281488913336012,-8.346804392275521,-5.884505984390277,9.538404217923894e-30,,,,,,0.5567159754602814
60,rmssd,log,731,22,-0.18682707463833997,0.05275722941439122,-0.29022934421466395,-0.08342480506201602,0.00039822071689425855,,,,,,0.9587153465772367
60,sampen_raw,log,731,22,0.25795699750284506,0.032973333904178205,0.1933304506004423,0.32258354440524784,5.1497044264258385e-15,,,,,,0.6594839380671228
60,sampen_detrended,log,731,22,0.2042173970551868,0.03079906796988189,0.14385233307681713,0.2645824610335564,3.342444185020687e-11,,,,,,0.7169697796167178
120,meanhr,raw,339,22,21.728508819193188,0.8389233891317892,20.0842491907066,23.372768447679775,6.579256666302187e-148,,,,,,0.990584777001008
120,sdnn,raw,339,22,-9.135815512724092,0.7213446664029229,-10.54962507931388,-7.722005946134303,9.244434931911014e-37,,,,,,0.660651111202951
120,rmssd,log,339,22,-0.1664156634351947,0.0548898380889522,-0.2739977692067759,-0.05883355766361352,0.0024309064703331652,,,,,,0.9737752025234042
120,sampen_raw,log,339,22,0.3243329957056319,0.05029454983137425,0.2257574894174833,0.4229085019937805,1.128353413122473e-10,,,,,,0.7737452587826722
120,sampen_detrended,log,339,22,0.27297208817114726,0.039613879164078665,0.1953303117216314,0.35061386462066313,5.5471916032734215e-12,,,,,,0.793476771407614
180,meanhr,raw,207,22,21.55211095340362,0.8339167845536702,19.917664089574977,23.186557817232263,2.8098544415687374e-147,,,,,,0.9932420895977325
180,sdnn,raw,207,22,-10.17892650075444,0.8262305985576568,-11.798308716852418,-8.559544284656461,7.094349822526767e-35,,,,,,0.7595796192364161
180,rmssd,log,207,22,-0.15342741751576633,0.06075917938486258,-0.2725132208403055,-0.03434161419122715,0.011564146399223062,,,,,,0.9432399107020148
180,sampen_raw,log,207,22,0.2888890648236377,0.06090896406243664,0.1695096889256174,0.40826844072165797,2.1061300880050893e-06,,,,,,0.8146636716188677
180,sampen_detrended,log,207,22,0.26303911201387925,0.03649029263741416,0.1915194526592204,0.33455877136853807,5.658480556520122e-13,,,,,,0.8507577088361805
300,meanhr,raw,100,22,19.433287304992906,0.8953231442908925,17.678486187657597,21.188088422328214,1.8269371826370034e-104,,,,,,0.976881486878651
300,sdnn,raw,100,22,-13.513896059543619,1.1737510488029288,-15.814405842013475,-11.213386277073763,1.1290197376859718e-30,,,,,,0.8653561177044117
300,rmssd,log,100,22,-0.1316975153074191,0.059711114363303376,-0.24872914893624604,-0.014665881678592174,0.027413566607705317,,,,,,0.8648473945872548
300,sampen_raw,log,100,22,0.3150771942713451,0.08386392008324468,0.1507069313058402,0.47944745723685,0.00017195883936324557,,,,,,0.72233490293778
300,sampen_detrended,log,100,22,0.26623530358306075,0.04188751855845743,0.18413727580673106,0.34833333135939043,2.071317837653998e-10,,,,,,0.7317017464353329
