window_length_s,n_obs,raw_mean,detrended_mean,raw_detrended_r,beta_vo2_detrended,se_vo2_detrended,ci_low,ci_high,p_vo2,beta_rr_trend,p_rr_trend,ar1_alpha
30,1456,1.5688742646251388,1.7613189494346002,0.5684689605878969,0.08815022740729928,0.023058476914432764,0.04295644311666279,0.13334401169793575,0.00013189183514231834,0.0451775513435923,3.873118792795107e-10,0.5727232342153777
60,731,1.2947070791286044,1.5779309438565292,0.6713372999063744,0.16315221210791883,0.03145896393626541,0.10149377580189421,0.22481064841394344,2.1463807921291355e-07,0.06644905606749729,1.8759817893101234e-07,0.7384898007055133
120,339,0.9372204753995204,1.431530068416152,0.6825747132073515,0.21740017990351018,0.046769702235800306,0.12573324795367913,0.30906711185334124,3.346620383730828e-06,0.08852916870885864,0.0012158772011534704,0.8167814085594829
180,207,0.6899599400160025,1.3268504018572622,0.6307439441256425,0.23509228354723488,0.03888778422541296,0.15887362702686064,0.3113109400676091,1.4903803860100807e-09,0.04364066653522735,0.22801800906083836,0.8566851365154757
300,100,0.4031917940717827,1.084644869642537,0.6737404323835398,0.22492090388400887,0.060404790152053564,0.10652969069228416,0.3433121170757336,0.0001964325903259769,0.05474739715130162,0.4417953777638497,0.7269644034789409
