Variable,Mean,SD,Min,Max
meanrr,407.4853985183916,52.52015262218926,321.6882795734979,583.2325610997964
sdnn,32.132452993388874,14.346146238066078,5.55408826121019,72.42811465832573
rmssd,6.751127369453376,6.076593850344489,2.37483997783428,29.73384476013229
sampen,0.008240676989674935,0.023656515934093826,0.0022099456508028,0.318154977189845
lfhffft,4.073770807908518,3.9851952868257134,0.0483492637021514,25.526580800816348
vo2_mlkgmin_median,25.812188515709643,10.91811567391455,1.2,61.65
hr_median,127.13449023861172,24.50267160000943,32.0,260.0
ve_vo2,19.58566443464944,4.178556446616146,12.927191679049034,63.366336633663366
