subject_id_new,timestamp,meanrr,sdnn,rmssd,pnn50,vlfpowfft,lfpowfft,hfpowfft,totpowfft,lfhffft,sampen,dfa1,dfa2,meanhr,hr_median,vo2_mlkgmin_median,vo2_l_median,vco2_l_median,rq_median,ve_stpd_median,ve_btps_median,rr_median,peto2_median,petco2_median,feo2_median,feco2_median,speed_median,grade_median,parasympathetic_index,sympathetic_index,autonomic_balance,ve_vo2,ve_vco2
1,0.0,0.9472531099469508,1.0810802806666489,0.03741779791953584,-0.337665907394465,-0.09368288702014711,-0.2884667372440551,0.0022723312367367602,-0.1620862932394254,-0.7955135727456177,-0.21532453196715656,,,-1.0167023990490014,#NULL!,-1.5498422992047238,-1.615969299882122,-1.2228969792500115,2.9550016056803163,-1.0638547678017716,-1.0599951383657042,-0.21972519760988055,2.4464994741757278,-1.3743844329117234,2.4598244706262906,-1.3813089200312616,-3.800719210153399,-1.349484615727887,-0.020386295679582035,-0.529253627035477,-0.7955135727456177,3.0679492092071405,1.3924760379399899
1,10.0,0.8728148822169475,1.0517690558793933,0.012725630532777504,-0.337665907394465,-0.053138453881696156,-0.30476458031071263,-0.07735076629201805,-0.13925166592853108,-0.7849331858095475,-0.21899651992693303,,,-0.9538828002815289,93.5,-1.1878621169135863,-1.2710835331753492,-0.9117738875052034,2.077962450262037,-0.7699408240677463,-0.7685785516600335,0.09421653210206968,1.7934126482652417,-0.7602714811907011,1.8171045135967363,-0.780607049481705,-1.1295774998531014,-1.349484615727887,-0.1554068957056582,-0.6208227721206271,-0.7849331858095475,1.8872052759324316,0.8441224447839949
1,20.0,0.7834051699268576,0.9586630631555964,-0.016842451698255965,-0.337665907394465,0.0036600409577344055,-0.32993071018459813,-0.19024710994052624,-0.10804983288357575,-0.7661673804679844,-0.220757631803051,,,-0.8769819278321389,106,-1.1282957578023864,-1.214786807389616,-0.752194146720966,2.5373639126239924,-0.6187035520492674,-0.6193163974937144,0.1570048780444597,2.08617570815615,-0.9733310766857486,2.0183602577171027,-0.7528823477640338,-1.0227318314410894,-1.349484615727887,-0.3280952237740853,-0.7457572521011017,-0.7661673804679844,2.161114719704844,0.6534827984635516
1,30.0,0.6884983503075824,0.8235660010143636,-0.0677669648488188,-0.337665907394465,0.05474226776269366,-0.3511512182165238,-0.2907716421658197,-0.07949535572937969,-0.7277626861520698,-0.22133407591680984,,,-0.7935727650076254,113,-1.348233083751432,-1.4257628865478005,-1.1689383618625357,2.704418989846522,-0.9839558316410657,-0.9841794410113834,0.5337349536988,2.2363106106643076,-1.1989235895628605,2.122234190166326,-1.2888932476390225,-1.0227318314410894,-1.349484615727887,-0.46742419840861094,-0.8422382892139756,-0.7277626861520698,1.9240824408150432,1.4612615014494643
1,40.0,0.5932943446070057,0.627460921994486,-0.13598410849973205,-0.337665907394465,0.0728338191714845,-0.3642844015025955,-0.35142556859337215,-0.07315730263420765,-0.6814403349341245,-0.2222833445560393,,,-0.7079988344384419,111.5,-0.665510967784603,-0.7742512638624225,-0.5656350972429904,0.7415218324818014,-0.46746628003078844,-0.4629465217004274,-0.09414850572510046,1.1403258223547557,-0.6098764726059603,0.8497785176633718,-0.33701182199895546,-0.9158861630290772,-1.349484615727887,-0.5423412510289175,-0.8935541502463773,-0.6814403349341245,0.7272951073576539,0.37057493318848245
1,50.0,0.5249071466246108,0.5329091916140231,-0.17734096606218314,-0.337665907394465,0.08281178931227451,-0.37054045548421527,-0.38202710931726486,-0.06913221056163554,-0.6375245391987563,-0.22486746458018922,,,-0.6453157945322786,110,-0.5692883876818955,-0.6802411975017809,-0.43418272084158616,0.9503406790099633,-0.25345127245746907,-0.24971487289139996,-0.7220319651490009,1.3204877053645434,-0.7978702333368858,1.265274247460255,-0.6604666753717947,-0.9158861630290772,-1.0232472400555874,-0.5797487156148752,-0.9179563837580029,-0.6375245391987563,1.0026691602682898,0.6186765691984754
1,60.0,0.4448434074118038,0.37201304157015375,-0.24949466032067993,-0.337665907394465,0.03758660820932629,-0.3776636823949675,-0.409678895128937,-0.11191932981321882,-0.5859614911734105,-0.22612025785150053,,,-0.5706028396650873,111.5,-0.7434054373915567,-0.8491313748589802,-0.6953653901107518,0.5327029859536393,-0.6072894183120235,-0.6098394353244242,-0.7848203110913909,0.9076167234671093,-0.5597448030777128,0.7588888267703032,-0.5403263012618827,-0.8090404946170657,-1.0232472400555874,-0.604585007480918,-0.9312518012106845,-0.5859614911734105,0.574888706956657,0.404715818495141
1,70.0,0.369288109020237,0.2209018136201929,-0.28774519884673083,-0.337665907394465,-0.026840944478224642,-0.3835775459399182,-0.42656888686194167,-0.16971599201997686,-0.5531575933067567,-0.2275212969828106,,,-0.49874779973896644,113.5,-0.399753365596173,-0.5211892829032533,-0.41925799688334825,0.2821203701198459,-0.25059773902315785,-0.24971487289139996,0.09421653210206968,0.9826841747211883,-0.7602714811907011,0.7848573098826079,-0.5865341374580031,-0.8090404946170657,-1.0232472400555874,-0.6156686203971237,-0.9364406202203921,-0.5531575933067567,0.5265705394714191,0.5629298207347169
1,80.0,0.2987525892883016,0.16660348046236248,-0.3170876279175026,-0.337665907394465,-0.08138049795632034,-0.3889012422120504,-0.4413886389126765,-0.2187785275096894,-0.5109239727446377,-0.2287211599395932,,,-0.4304510688095978,121,-0.44557364183555753,-0.5627286145509786,-0.39113063250051505,0.3238841394254783,-0.290547207103511,-0.28762272156856056,-0.4708785813794407,1.0277246454736373,-0.7477385638086383,0.6550148943210802,-0.4571521961088674,-0.7021948262050537,-1.0232472400555874,-0.6279391940994828,-0.9432970794836295,-0.5109239727446377,0.5448267041446089,0.29030469091026473
1,90.0,0.2305650340010152,0.07619070553037137,-0.3855116203941377,-0.337665907394465,-0.1478247799308137,-0.3927967601518206,-0.44939872492017563,-0.27693970985603283,-0.49449337220077444,-0.22973083591359306,,,-0.3632819665256611,123,-0.45931972470737276,-0.5774860086889864,-0.4364788322197766,0.4491754473423746,-0.39042087730439334,-0.3918693054307516,-0.5964552732642208,0.9751774295957808,-0.5722777204597755,0.719936102101844,-0.30928712028128424,-0.5953491577930417,-0.6970098643832878,-0.6292608284404837,-0.9402431531788424,-0.49449337220077444,0.33534653498495626,0.10248512258695644
1,100.0,0.16251913359261944,-0.0070678822020288365,-0.4274406329232542,-0.337665907394465,-0.20444129288514223,-0.39626610666924544,-0.4569981360648634,-0.3266081541023244,-0.4690490633146319,-0.23072363704722615,,,-0.2951001966425757,122,-0.3814252551004193,-0.5020593275391692,-0.3572629896722056,0.49093921664800694,-0.27057247306333443,-0.2686687972299801,-0.4708785813794407,0.8400560173384399,-0.45948146402121953,0.6874754982114644,-0.26307928408516384,-0.5953491577930417,-0.6970098643832878,-0.6322476421401697,-0.9377609936768416,-0.4690490633146319,0.425478405218903,0.22354231228342286
1,110.0,0.09850645630994358,-0.10003172172156029,-0.4749508991810842,-0.337665907394465,-0.24515820711425176,-0.39825180723566994,-0.4598758558609133,-0.36195866788728176,-0.47064151094352835,-0.23169998288179403,,,-0.22988224314513814,125,-0.26687456450195807,-0.3932918670405197,-0.3520967390712771,0.11506529289731632,-0.24489067215453594,-0.2378686701797873,-0.1569368516674905,0.7574818209589514,-0.5597448030777128,0.3953300631980293,-0.3554949564774046,-0.48850348938102967,-0.6970098643832878,-0.6292802522793826,-0.9322098106280838,-0.47064151094352835,0.2064165914266083,0.2967122808757823
1,120.0,0.04155389421419048,-0.19711006115143115,-0.4931275190371844,-0.337665907394465,-0.26349198689870545,-0.3990750399235353,-0.46384084856351987,-0.37808609424689416,-0.4301011032847536,-0.23250132751926278,,,-0.1709579746815313,127,-0.34018700648497296,-0.4627062765044819,-0.3836682705213961,0.36564790873110975,-0.207794737508494,-0.20706854312959452,0.2825815699292398,0.9301369588433338,-0.6976068942803926,0.7978415514387579,-0.5865341374580031,-0.48850348938102967,-0.6970098643832878,-0.6339126340646255,-0.928666979487086,-0.4301011032847536,0.4702997776062506,0.5680622699521155
